School,Semester,Grade,Subject,Class,Student Name,Score
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Home economics,Jayne Klocko,76
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Italian Language and Culture,Jayne Klocko,80
VonRueden High School,Fall-2019,9th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Jayne Klocko,79
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Studio art (drawing),Jayne Klocko,79
VonRueden High School,Fall-2019,9th-Grade,Performing Arts,Concert band,Jayne Klocko,73
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Hebrew,Darwin Crooks,94
VonRueden High School,Fall-2019,9th-Grade,English,Debate,Darwin Crooks,74
VonRueden High School,Fall-2019,9th-Grade,English,English language and composition,Darwin Crooks,84
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Computer repair,Darwin Crooks,97
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Web design,Darwin Crooks,98
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Art history,Gilbert Moore,83
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Interior design,Gilbert Moore,0
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Photography,Gilbert Moore,75
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Typing,Gilbert Moore,71
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,AP Psychology,Gilbert Moore,81
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Ceramics,Ruthie O'Keefe,91
VonRueden High School,Fall-2019,9th-Grade,Science,Biology,Ruthie O'Keefe,78
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Korean,Ruthie O'Keefe,92
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Woodworking,Ruthie O'Keefe,95
VonRueden High School,Fall-2019,9th-Grade,Math,Trigonometry,Ruthie O'Keefe,88
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,AP Comparative government and politics,Letha Feil,94
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Portuguese,Letha Feil,0
VonRueden High School,Fall-2019,9th-Grade,English,Modern literature,Letha Feil,71
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Italian,Letha Feil,71
VonRueden High School,Fall-2019,9th-Grade,Performing Arts,Piano,Letha Feil,0
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Graphic design,Lynn Schultz,80
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Spanish Literature and Culture,Lynn Schultz,74
VonRueden High School,Fall-2019,9th-Grade,Performing Arts,Music theory,Lynn Schultz,86
VonRueden High School,Fall-2019,9th-Grade,Sciences,AP Physics 1 (Algebra-Based),Lynn Schultz,79
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP French Language and Culture,Lynn Schultz,94
VonRueden High School,Fall-2019,9th-Grade,Sciences,AP Biology,Brian Legros,81
VonRueden High School,Fall-2019,9th-Grade,English,American literature,Brian Legros,75
VonRueden High School,Fall-2019,9th-Grade,Social Studies,Physical anthropology,Brian Legros,89
VonRueden High School,Fall-2019,9th-Grade,Math,Practical math,Brian Legros,80
VonRueden High School,Fall-2019,9th-Grade,Math,Algebra 1,Brian Legros,0
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Computer-aided drafting,Clemmie Balistreri,83
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Ancient Greek,Clemmie Balistreri,98
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Home economics,Clemmie Balistreri,75
VonRueden High School,Fall-2019,9th-Grade,Physical Education,Aerobics,Clemmie Balistreri,100
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Music production,Clemmie Balistreri,88
VonRueden High School,Fall-2019,9th-Grade,Math,Fundamentals of math,Federico Senger,71
VonRueden High School,Fall-2019,9th-Grade,Math,Pre-algebra,Federico Senger,94
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Audio production,Federico Senger,98
VonRueden High School,Fall-2019,9th-Grade,English,American literature,Federico Senger,98
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Federico Senger,85
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Arabic,Jennings Mayer,97
VonRueden High School,Fall-2019,9th-Grade,Sciences,AP Chemistry,Jennings Mayer,87
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Chinese Language and Culture,Jennings Mayer,92
VonRueden High School,Fall-2019,9th-Grade,Performing Arts,World music,Jennings Mayer,71
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Computer programming,Jennings Mayer,93
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,CPR training,Brycen Wehner,90
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,AP Calculus AB,Brycen Wehner,99
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,Math & Computer Science,Brycen Wehner,71
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Jewelry design,Brycen Wehner,90
VonRueden High School,Fall-2019,9th-Grade,English,Poetry,Brycen Wehner,80
VonRueden High School,Fall-2019,9th-Grade,English,Works of Shakespeare,Kamren Hoppe,77
VonRueden High School,Fall-2019,9th-Grade,Performing Arts,Concert band,Kamren Hoppe,80
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Ancient Greek,Kamren Hoppe,90
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Auto body repair,Kamren Hoppe,89
VonRueden High School,Fall-2019,9th-Grade,Math,Fundamentals of math,Kamren Hoppe,88
VonRueden High School,Fall-2019,9th-Grade,Science,Forensic science,Aliya Waelchi,97
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Sculpture,Aliya Waelchi,93
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Digital media,Aliya Waelchi,71
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Word processing,Aliya Waelchi,81
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Jewelry design,Aliya Waelchi,83
VonRueden High School,Fall-2019,9th-Grade,Physical Education,Racket sports,Devyn Bosco,80
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Auto mechanics,Devyn Bosco,77
VonRueden High School,Fall-2019,9th-Grade,Physical Education,Weight training,Devyn Bosco,96
VonRueden High School,Fall-2019,9th-Grade,Sciences,AP Physics 2 (Algebra-Based),Devyn Bosco,74
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Devyn Bosco,76
VonRueden High School,Fall-2019,9th-Grade,Math,Algebra 1,Georgiana Hayes,87
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Studio art (2-D design),Georgiana Hayes,87
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP German Language and Culture,Georgiana Hayes,76
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Nutrition,Georgiana Hayes,84
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Refrigeration fundamentals,Georgiana Hayes,77
VonRueden High School,Fall-2019,9th-Grade,Math,Trigonometry,Davon Paucek,87
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Music theory,Davon Paucek,91
VonRueden High School,Fall-2019,9th-Grade,English,Poetry,Davon Paucek,70
VonRueden High School,Fall-2019,9th-Grade,Science,Agriculture,Davon Paucek,73
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Chinese,Davon Paucek,73
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP French Language and Culture,Jaclyn Doyle,86
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Studio art (3-D design),Jaclyn Doyle,78
VonRueden High School,Fall-2019,9th-Grade,Business,Business management,Jaclyn Doyle,82
VonRueden High School,Fall-2019,9th-Grade,Performing Arts,Piano,Jaclyn Doyle,72
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,American Sign Language,Jaclyn Doyle,0
VonRueden High School,Fall-2019,9th-Grade,English,English literature and composition,Morgan Sipes,95
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Ceramics,Morgan Sipes,80
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Culinary arts,Morgan Sipes,88
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Chinese Language and Culture,Morgan Sipes,90
VonRueden High School,Fall-2019,9th-Grade,Business,Entrepreneurial skills,Morgan Sipes,80
VonRueden High School,Fall-2019,9th-Grade,Business,Entrepreneurial skills,Chadrick Harris,85
VonRueden High School,Fall-2019,9th-Grade,Science,Astronomy,Chadrick Harris,75
VonRueden High School,Fall-2019,9th-Grade,Science,Physics,Chadrick Harris,80
VonRueden High School,Fall-2019,9th-Grade,Physical Education,Dance,Chadrick Harris,90
VonRueden High School,Fall-2019,9th-Grade,Science,Electronics,Chadrick Harris,99
