School,Semester,Grade,Subject,Class,Student Name,Score
Olson High School,Fall-2019,9th-Grade,History & Social Science,AP Computer Science A,Jennifer VonRueden,77
Olson High School,Fall-2019,9th-Grade,Science,Environmental studies,Jennifer VonRueden,72
Olson High School,Fall-2019,9th-Grade,Business,Marketing,Jennifer VonRueden,100
Olson High School,Fall-2019,9th-Grade,Science,Astronomy,Jennifer VonRueden,92
Olson High School,Fall-2019,9th-Grade,Business,Consumer education,Jennifer VonRueden,88
Olson High School,Fall-2019,9th-Grade,Sciences,AP Biology,Minnie Larson,91
Olson High School,Fall-2019,9th-Grade,Arts,AP Studio art (drawing),Minnie Larson,70
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,CPR training,Minnie Larson,93
Olson High School,Fall-2019,9th-Grade,Performing Arts,World music,Minnie Larson,96
Olson High School,Fall-2019,9th-Grade,Vocational Education,Building construction,Minnie Larson,81
Olson High School,Fall-2019,9th-Grade,Physical Education,Yoga,Donato Doyle,76
Olson High School,Fall-2019,9th-Grade,Sciences,AP Physics 2 (Algebra-Based),Donato Doyle,94
Olson High School,Fall-2019,9th-Grade,History & Social Science,AP Microeconomics,Donato Doyle,84
Olson High School,Fall-2019,9th-Grade,History & Social Science,AP Statistics,Donato Doyle,88
Olson High School,Fall-2019,9th-Grade,Arts,AP Studio art (2-D design),Donato Doyle,92
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,Chemistry of foods,Waylon Robel,92
Olson High School,Fall-2019,9th-Grade,Foreign Language,Latin,Waylon Robel,79
Olson High School,Fall-2019,9th-Grade,Social Studies,Microeconomics,Waylon Robel,100
Olson High School,Fall-2019,9th-Grade,Arts,AP Studio art (3-D design),Waylon Robel,93
Olson High School,Fall-2019,9th-Grade,Physical Education,Yoga,Waylon Robel,90
Olson High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Word processing,Quincy Doyle,97
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,Home economics,Quincy Doyle,82
Olson High School,Fall-2019,9th-Grade,Math,Pre-algebra,Quincy Doyle,81
Olson High School,Fall-2019,9th-Grade,Vocational Education,Computer-aided drafting,Quincy Doyle,80
Olson High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Spanish Language and Culture,Quincy Doyle,87
Olson High School,Fall-2019,9th-Grade,Sciences,AP Chemistry,Jaime Larkin,0
Olson High School,Fall-2019,9th-Grade,Math,Multivariable calculus,Jaime Larkin,71
Olson High School,Fall-2019,9th-Grade,Performing Arts,Choir,Jaime Larkin,86
Olson High School,Fall-2019,9th-Grade,Business,Accounting,Jaime Larkin,84
Olson High School,Fall-2019,9th-Grade,Social Studies,Cultural anthropology,Jaime Larkin,85
Olson High School,Fall-2019,9th-Grade,Sciences,AP Physics 1 (Algebra-Based),Asha Ruecker,70
Olson High School,Fall-2019,9th-Grade,Physical Education,Yoga,Asha Ruecker,94
Olson High School,Fall-2019,9th-Grade,English,Poetry,Asha Ruecker,100
Olson High School,Fall-2019,9th-Grade,Visual Arts,Digital media,Asha Ruecker,75
Olson High School,Fall-2019,9th-Grade,Sciences,AP Chemistry,Asha Ruecker,89
Olson High School,Fall-2019,9th-Grade,Performing Arts,Theater technology,Leslie Volkman,80
Olson High School,Fall-2019,9th-Grade,Arts,AP Art history,Leslie Volkman,92
Olson High School,Fall-2019,9th-Grade,Sciences,AP Physics 2 (Algebra-Based),Leslie Volkman,94
Olson High School,Fall-2019,9th-Grade,Business,Introduction to business,Leslie Volkman,94
Olson High School,Fall-2019,9th-Grade,Vocational Education,JROTC (Junior Reserve Officers' Training Corps),Leslie Volkman,91
Olson High School,Fall-2019,9th-Grade,History & Social Science,AP Psychology,Brock Goodwin,95
Olson High School,Fall-2019,9th-Grade,English,Written and oral communication,Brock Goodwin,86
Olson High School,Fall-2019,9th-Grade,Arts,AP Studio art (3-D design),Brock Goodwin,79
Olson High School,Fall-2019,9th-Grade,Foreign Language,Japanese,Brock Goodwin,84
Olson High School,Fall-2019,9th-Grade,Science,Geology,Brock Goodwin,73
Olson High School,Fall-2019,9th-Grade,History & Social Science,AP Comparative government and politics,Otho Wiegand,90
Olson High School,Fall-2019,9th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Otho Wiegand,84
Olson High School,Fall-2019,9th-Grade,Foreign Language,Japanese,Otho Wiegand,88
Olson High School,Fall-2019,9th-Grade,Social Studies,Law,Otho Wiegand,72
Olson High School,Fall-2019,9th-Grade,Arts,AP Studio art (2-D design),Otho Wiegand,98
Olson High School,Fall-2019,9th-Grade,Math,Calculus,Jannie Thompson,97
Olson High School,Fall-2019,9th-Grade,Business,Entrepreneurial skills,Jannie Thompson,88
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,CPR training,Jannie Thompson,76
Olson High School,Fall-2019,9th-Grade,Social Studies,Human geography,Jannie Thompson,78
Olson High School,Fall-2019,9th-Grade,Business,Accounting,Jannie Thompson,84
Olson High School,Fall-2019,9th-Grade,Visual Arts,Sculpture,Micah Sauer,77
Olson High School,Fall-2019,9th-Grade,Arts,AP Art history,Micah Sauer,91
Olson High School,Fall-2019,9th-Grade,Business,Consumer education,Micah Sauer,72
Olson High School,Fall-2019,9th-Grade,Sciences,AP Physics 2 (Algebra-Based),Micah Sauer,100
Olson High School,Fall-2019,9th-Grade,Social Studies,Macroeconomics,Micah Sauer,90
Olson High School,Fall-2019,9th-Grade,Business,Business law,Nelle Murphy,78
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,Nutrition,Nelle Murphy,86
Olson High School,Fall-2019,9th-Grade,Visual Arts,Jewelry design,Nelle Murphy,79
Olson High School,Fall-2019,9th-Grade,Vocational Education,Hospitality and tourism,Nelle Murphy,92
Olson High School,Fall-2019,9th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Nelle Murphy,87
Olson High School,Fall-2019,9th-Grade,Business,Personal finance,Donny Parker,0
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,Culinary arts,Donny Parker,94
Olson High School,Fall-2019,9th-Grade,Performing Arts,Guitar,Donny Parker,95
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,Interior design,Donny Parker,75
Olson High School,Fall-2019,9th-Grade,Social Studies,Women’s studies,Donny Parker,70
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,Early childhood development,Chanel Morar,88
Olson High School,Fall-2019,9th-Grade,Social Studies,Physical anthropology,Chanel Morar,90
Olson High School,Fall-2019,9th-Grade,Science,Geology,Chanel Morar,79
Olson High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Spanish Language and Culture,Chanel Morar,81
Olson High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Music production,Chanel Morar,100
Olson High School,Fall-2019,9th-Grade,Foreign Language,Italian,Brycen Parker,73
Olson High School,Fall-2019,9th-Grade,Arts,AP Studio art (drawing),Brycen Parker,92
Olson High School,Fall-2019,9th-Grade,Foreign Language,Russian,Brycen Parker,90
Olson High School,Fall-2019,9th-Grade,Business,Entrepreneurial skills,Brycen Parker,71
Olson High School,Fall-2019,9th-Grade,Sciences,AP Chemistry,Brycen Parker,70
Olson High School,Fall-2019,9th-Grade,World Languages and Cultures,AP German Language and Culture,Elvera Pagac,93
Olson High School,Fall-2019,9th-Grade,Social Studies,Religious studies,Elvera Pagac,95
Olson High School,Fall-2019,9th-Grade,History & Social Science,AP Macroeconomics,Elvera Pagac,70
Olson High School,Fall-2019,9th-Grade,History & Social Science,AP Computer Science Principles,Elvera Pagac,79
Olson High School,Fall-2019,9th-Grade,Family and Consumer Science,Chemistry of foods,Elvera Pagac,100
Olson High School,Fall-2019,9th-Grade,Foreign Language,American Sign Language,Karianne Batz,86
Olson High School,Fall-2019,9th-Grade,Visual Arts,Painting,Karianne Batz,78
Olson High School,Fall-2019,9th-Grade,Science,Environmental studies,Karianne Batz,88
Olson High School,Fall-2019,9th-Grade,Science,Physics,Karianne Batz,87
Olson High School,Fall-2019,9th-Grade,Social Studies,Macroeconomics,Karianne Batz,70
Olson High School,Fall-2019,9th-Grade,Performing Arts,Jazz band,Chelsea Kemmer,94
Olson High School,Fall-2019,9th-Grade,Physical Education,Lifeguard training,Chelsea Kemmer,85
Olson High School,Fall-2019,9th-Grade,Physical Education,Yoga,Chelsea Kemmer,88
Olson High School,Fall-2019,9th-Grade,Sciences,AP Environmental Science,Chelsea Kemmer,86
Olson High School,Fall-2019,9th-Grade,Business,Personal finance,Chelsea Kemmer,77
Olson High School,Fall-2019,9th-Grade,English,Creative writing,Zackery McClure,87
Olson High School,Fall-2019,9th-Grade,Business,Consumer education,Zackery McClure,83
Olson High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Media technology,Zackery McClure,79
Olson High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Zackery McClure,85
Olson High School,Fall-2019,9th-Grade,Performing Arts,Piano,Zackery McClure,100
Olson High School,Fall-2019,9th-Grade,Social Studies,Microeconomics,Paris Kunde,85
Olson High School,Fall-2019,9th-Grade,Sciences,AP Physics 2 (Algebra-Based),Paris Kunde,96
Olson High School,Fall-2019,9th-Grade,Science,Biology,Paris Kunde,72
Olson High School,Fall-2019,9th-Grade,Business,Marketing,Paris Kunde,79
Olson High School,Fall-2019,9th-Grade,History & Social Science,AP Microeconomics,Paris Kunde,70
Olson High School,Fall-2019,9th-Grade,Foreign Language,Spanish,Brock Ziemann,91
Olson High School,Fall-2019,9th-Grade,World Languages and Cultures,AP French Language and Culture,Brock Ziemann,72
Olson High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Spanish Literature and Culture,Brock Ziemann,90
Olson High School,Fall-2019,9th-Grade,Performing Arts,Drama,Brock Ziemann,93
Olson High School,Fall-2019,9th-Grade,Vocational Education,Criminal justice,Brock Ziemann,85
Olson High School,Fall-2019,10th-Grade,Physical Education,Yoga,Monty Stanton,88
Olson High School,Fall-2019,10th-Grade,Arts,AP Art history,Monty Stanton,77
Olson High School,Fall-2019,10th-Grade,Business,Introduction to business,Monty Stanton,93
Olson High School,Fall-2019,10th-Grade,Math,Integrated math,Monty Stanton,83
Olson High School,Fall-2019,10th-Grade,Vocational Education,Refrigeration fundamentals,Monty Stanton,75
Olson High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Providenci Ondricka,88
Olson High School,Fall-2019,10th-Grade,Business,Business management,Providenci Ondricka,89
Olson High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Spanish Literature and Culture,Providenci Ondricka,78
Olson High School,Fall-2019,10th-Grade,Social Studies,International relations,Providenci Ondricka,79
Olson High School,Fall-2019,10th-Grade,Physical Education,Specialized sports,Providenci Ondricka,80
Olson High School,Fall-2019,10th-Grade,Science,Earth science,Sedrick Sipes,97
Olson High School,Fall-2019,10th-Grade,History & Social Science,AP Computer Science Principles,Sedrick Sipes,76
Olson High School,Fall-2019,10th-Grade,Social Studies,Global studies,Sedrick Sipes,95
Olson High School,Fall-2019,10th-Grade,Business,Business law,Sedrick Sipes,97
Olson High School,Fall-2019,10th-Grade,World Languages and Cultures,AP German Language and Culture,Sedrick Sipes,76
Olson High School,Fall-2019,10th-Grade,Sciences,AP Biology,Reed Kuvalis,82
Olson High School,Fall-2019,10th-Grade,Vocational Education,Auto body repair,Reed Kuvalis,82
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,Family studies,Reed Kuvalis,72
Olson High School,Fall-2019,10th-Grade,English,Technical writing,Reed Kuvalis,92
Olson High School,Fall-2019,10th-Grade,World Languages and Cultures,AP French Language and Culture,Reed Kuvalis,96
Olson High School,Fall-2019,10th-Grade,English,Communication skills,Jovanny Rutherford,83
Olson High School,Fall-2019,10th-Grade,English,Creative writing,Jovanny Rutherford,98
Olson High School,Fall-2019,10th-Grade,History & Social Science,AP Microeconomics,Jovanny Rutherford,76
Olson High School,Fall-2019,10th-Grade,Vocational Education,Robotics,Jovanny Rutherford,75
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,CPR training,Jovanny Rutherford,78
Olson High School,Fall-2019,10th-Grade,Foreign Language,French,Genevieve Jakubowski,80
Olson High School,Fall-2019,10th-Grade,Science,Geology,Genevieve Jakubowski,72
